,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
205,0.668,0.695,4,-5.991,0,0.0337,0.102,0.00174,0.0969,0.644,137.888,Keane,More to Life,4
206,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,blink-182,All The Small Things,5
207,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,blink-182,What's My Age Again?,0
208,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,blink-182,I Miss You,1
209,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,blink-182,First Date,1
210,0.426,0.972,0,-5.122,1,0.0954,0.0017,0.0,0.171,0.341,111.221,blink-182,Dammit,0
211,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,blink-182,Adam's Song,0
212,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,blink-182,The Rock Show,0
213,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,blink-182,Feeling This,0
214,0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108,blink-182,Anthem Part Two,0
